,State,HIV rate,STD rate,Sex education requirements,HIV education requirements,Dominant political party
4,California,12.6,944.4321378,present,present,democrat
0,Alabama,21.9,1538.607372,present,present,republican
1,Alaska,5.2,1376.307033,none,none,republican
2,Arizona,14.5,1070.892736,present,present,republican
3,Arkansas,15.7,1291.445087,present,present,republican
5,Colorado,9,960.6129878,present,present,democrat
6,Connecticut,7.8,796.0698903,present,none,democrat
7,Delaware,12.8,1312.060512,present,present,democrat
8,Florida,25.1,1139.617774,present,present,republican
9,Georgia,35.8,1233.968566,present,none,republican
10,Hawaii,4,1051.209912,present,present,democrat
11,Idaho,1,704.8203302,present,none,republican
12,Illinois,15.3,1291.876142,present,present,democrat
13,Indiana,8.8,1044.235882,present,present,republican
14,Iowa,4.4,978.1969928,none,none,republican
15,Kansas,6.5,1033.645822,none,none,republican
16,Kentucky,9.3,960.0176655,present,none,republican
17,Louisiana,26.3,1760.8175,present,present,republican
18,Maine,2.8,276.067974,present,present,democrat
19,Maryland,19.3,1282.89891,present,present,democrat
20,Massachusetts,6.4,752.9388289,none,none,democrat
21,Michigan,10.9,1050.294129,present,present,republican
22,Minnesota,5.4,846.6002252,none,none,democrat
23,Mississippi,26.2,2056.904599,present,present,republican
24,Missouri,11.8,1216.550753,present,present,republican
25,Montana,3.7,858.7766219,none,none,republican
26,Nebraska,4.4,922.6882306,none,none,republican
27,Nevada,20.9,1140.970833,none,none,democrat
28,New Hampshire,0.5,475.9196702,none,none,democrat
29,New Jersey,13.4,867.8329608,present,present,democrat
30,New Mexico,8.1,1199.088244,present,present,democrat
31,New York,15.3,1129.45854,none,present,democrat
32,North Carolina,22.8,1405.109796,present,present,republican
33,North Dakota,3.9,897.0176032,none,none,republican
34,Ohio,12.7,1219.456925,present,present,republican
35,Oklahoma,12.4,1231.983085,present,present,republican
36,Oregon,3.6,834.0593615,present,present,democrat
37,Pennsylvania,11.3,971.0607016,none,present,republican
38,Rhode Island,8.8,942.7896082,present,present,democrat
39,South Carolina,23.7,1559.047706,present,present,republican
40,South Dakota,2.8,1020.884101,none,none,republican
41,Tennessee,15.8,1326.964913,present,present,republican
42,Texas,20.8,846.7839169,present,present,republican
43,Utah,6.2,483.3800839,present,present,republican
44,Vermont,2,467.4293639,present,present,democrat
45,Virginia,12.6,1044.722939,present,present,democrat
46,Washington,5.6,878.0425066,present,present,democrat
47,West Virginia,8.9,636.3687313,present,present,republican
48,Wisconsin,5.4,996.9418734,none,present,republican
49,Wyoming,1.1,713.23846,none,none,republican
